| time |RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 0    |       3 |       8 |       0 |
| 1    |       3 |       8 |       0 |
| 2    |       3 |       8 |       0 |
| 3    |       3 |       8 |       0 |
| 4    |       3 |       8 |       0 |
| 5    |       3 |       8 |       0 |
| 6    |       3 |       8 |       0 |
| 7    |       3 |       8 |       0 |
| 8    |       3 |       8 |       0 |
| 9    |       3 |       8 |       0 |
| 10   |       3 |       8 |       0 |
| 11   |       3 |       8 |       0 |
| 12   |       3 |       8 |       0 |
| 13   |       3 |       8 |       0 |
| 14   |       3 |       8 |       8 |
| 15   |       3 |       8 |       8 |
| 16   |       3 |       8 |       8 |
| 17   |       3 |       8 |       8 |
| 18   |       3 |       8 |       8 |
| 19   |       3 |       8 |       8 |
| 20   |       3 |       8 |       8 |
| 21   |       3 |       8 |       8 |
| 22   |       3 |       8 |       8 |
| 23   |       3 |       8 |       8 |
| 24   |       3 |       8 |       8 |
| 25   |       3 |       8 |       8 |
| 26   |       3 |       8 |      16 |
| 27   |       3 |       8 |      16 |
| 28   |       3 |       8 |      16 |
| 29   |       3 |       8 |      16 |
| 30   |       3 |       8 |      16 |
| 31   |       3 |       8 |      16 |
| 32   |       3 |       8 |      16 |
| 33   |       3 |       8 |      16 |
| 34   |       3 |       8 |      16 |
| 35   |       3 |       8 |      16 |
| 36   |       3 |       8 |      16 |
| 37   |       3 |       8 |      16 |
| 38   |       3 |       8 |      24 |
| 39   |       3 |       8 |      24 |
| 40   |       3 |       8 |      24 |
| 41   |       3 |       8 |      24 |
| 42   |       3 |       8 |      24 |
| 43   |       3 |       8 |      24 |
| 44   |       3 |       8 |      24 |
| 45   |       3 |       8 |      24 |
| 46   |       3 |       8 |      24 |
| 47   |       3 |       8 |      24 |
| 48   |       3 |       8 |      24 |
| 49   |       3 |       8 |      24 |
| 50   |       3 |       8 |      24 |
| 51   |       3 |       8 |      24 |
| 52   |       3 |       8 |      24 |
| 53   |       3 |       8 |      24 |
| 54   |       3 |       8 |      24 |
| 55   |       3 |       8 |      24 |
| 56   |       3 |       8 |      24 |
| 57   |       3 |       8 |      24 |
| 58   |       3 |       8 |      24 |
| 59   |       3 |       8 |      24 |
| 60   |       3 |       8 |      24 |
| 61   |       3 |       8 |      24 |
| 62   |       3 |       8 |      24 |
| 63   |       3 |       8 |      24 |
| 64   |       3 |       8 |      24 |
| 65   |       3 |       8 |      24 |
| 66   |       3 |       8 |      24 |
| 67   |       3 |       8 |      24 |
| 68   |       3 |       8 |      24 |
| 69   |       3 |       8 |      24 |
| 70   |       3 |       8 |      24 |
| 71   |       3 |       8 |      24 |
| 72   |       3 |       8 |      24 |
| 73   |       3 |       8 |      24 |
| 74   |       3 |       8 |      24 |
| 75   |       3 |       8 |      24 |
| 76   |       3 |       8 |      24 |
| 77   |       3 |       8 |      24 |
| 78   |       3 |       8 |      24 |
| 79   |       3 |       8 |      24 |
| 80   |       3 |       8 |      24 |
| 81   |       3 |       8 |      24 |
| 82   |       3 |       8 |      24 |
| 83   |       3 |       8 |      24 |
| 84   |       3 |       8 |      24 |
| 85   |       3 |       8 |      24 |
| 86   |       3 |       8 |      24 |
| 87   |       3 |       8 |      24 |
| 88   |       3 |       8 |      24 |
| 89   |       3 |       8 |      24 |
| 90   |       3 |       8 |      24 |
| 91   |       3 |       8 |      24 |
| 92   |       3 |       8 |      24 |
| 93   |       3 |       8 |      24 |
| 94   |       3 |       8 |      24 |
| 95   |       3 |       8 |      24 |
| 96   |       3 |       8 |      24 |
| 97   |       3 |       8 |      24 |
| 98   |       3 |       8 |      24 |
| 99   |       3 |       8 |      24 |
| 100  |       3 |       8 |      24 |
